City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,North Battleford,CA,2022-10-02 20:46:00,52.7834,-108.2847,71.69,46,0,8.05
149,Sitka,US,2022-10-02 20:43:02,57.0531,-135.33,51.69,71,0,0.0
150,Sakakah,SA,2022-10-02 20:46:01,29.9697,40.2064,81.97,17,0,1.1
151,Orocue,CO,2022-10-02 20:46:02,4.7912,-71.3354,87.73,54,64,5.23
152,Bilma,NE,2022-10-02 20:46:05,18.6853,12.9164,91.71,12,0,5.57
153,Shubarkuduk,KZ,2022-10-02 20:46:06,49.1447,56.4872,47.41,22,24,12.26
154,Galdar,ES,2022-10-02 20:46:06,28.147,-15.6502,73.35,76,1,9.51
155,Manado,ID,2022-10-02 20:46:07,1.487,124.8455,70.57,100,20,1.14
156,Mayo,US,2022-10-02 20:46:07,38.8876,-76.5119,57.61,94,100,11.5
157,Olafsvik,IS,2022-10-02 20:46:08,64.8945,-23.7142,45.95,91,100,20.09
158,Chemal,RU,2022-10-02 20:46:08,51.4111,86.005,23.58,91,6,4.16
159,Hay River,CA,2022-10-02 20:42:23,60.8156,-115.7999,53.58,50,20,20.71
160,Rawlins,US,2022-10-02 20:46:09,41.7911,-107.2387,64.35,51,75,18.41
161,Tres Arroyos,AR,2022-10-02 20:46:10,-38.3739,-60.2798,56.08,44,76,12.35
162,Simao,CN,2022-10-02 20:46:11,22.7886,100.9748,64.74,98,98,2.51
163,Talnakh,RU,2022-10-02 20:46:11,69.4865,88.3972,29.21,94,78,9.64
164,Cabo San Lucas,MX,2022-10-02 20:42:59,22.8909,-109.9124,96.1,58,20,6.91
165,Port Alfred,ZA,2022-10-02 20:46:12,-33.5906,26.891,64.18,95,2,11.32
166,Bathsheba,BB,2022-10-02 20:46:13,13.2167,-59.5167,81.21,83,75,17.27
167,Sibolga,ID,2022-10-02 20:45:33,1.7427,98.7792,74.07,91,100,2.86
168,Lebanon,US,2022-10-02 20:45:13,36.2081,-86.2911,79.84,43,0,10.36
169,Tongling,CN,2022-10-02 20:46:14,30.95,117.7833,81.23,56,3,4.79
170,Zhuhai,CN,2022-10-02 20:46:15,22.2769,113.5678,82.18,89,40,9.22
171,Nuuk,GL,2022-10-02 20:46:15,64.1835,-51.7216,36.21,75,40,5.75
172,El Ejido,ES,2022-10-02 20:46:16,36.7763,-2.8146,77.94,46,86,8.34
173,Atasu,KZ,2022-10-02 20:46:16,48.6814,71.6433,33.75,45,0,9.42
174,Marsaxlokk,MT,2022-10-02 20:46:17,35.8419,14.5431,74.08,73,0,13.76
175,Ahipara,NZ,2022-10-02 20:46:18,-35.1667,173.1667,60.03,90,53,10.4
176,Huercal-Overa,ES,2022-10-02 20:46:18,37.389,-1.9454,72.48,57,78,2.3
