City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Lorengau,PG,-2.0226,147.2712,81.52,80,92,9.13,overcast clouds
175,Alyangula,AU,-13.8483,136.4192,78.76,76,65,5.53,broken clouds
176,Katherine,AU,-14.4667,132.2667,73.72,88,3,0.0,clear sky
177,Roald,NO,62.5833,6.1333,54.91,87,75,12.66,light rain
178,Krasnorechenskiy,RU,44.6265,135.3532,27.28,64,3,10.74,clear sky
179,Ribeira Grande,PT,38.5167,-28.7,72.0,78,20,12.66,few clouds
180,Anchorage,US,61.2181,-149.9003,52.68,85,0,6.91,clear sky
181,Tautira,PF,-17.7333,-149.15,76.1,75,81,24.47,light rain
182,Vardo,NO,70.3705,31.1107,44.58,87,40,12.66,scattered clouds
183,Sept-Iles,CA,50.2001,-66.3821,54.12,67,75,2.3,broken clouds
184,Lardos,GR,36.0942,28.0157,75.02,58,0,15.12,clear sky
185,Freeport,US,40.6576,-73.5832,57.09,90,100,19.57,mist
186,Demyansk,RU,57.643,32.466,42.31,89,100,2.53,overcast clouds
187,Sur,OM,22.5667,59.5289,79.38,72,0,10.58,clear sky
188,Ukiah,US,39.1502,-123.2078,88.38,48,0,1.01,clear sky
189,Buala,SB,-8.145,159.5921,80.85,78,53,9.89,light rain
190,Zalantun,CN,48.0,122.7167,31.14,49,100,6.35,overcast clouds
191,Nsunga,TZ,-1.1439,31.3947,65.71,77,46,3.89,scattered clouds
192,College,US,64.8569,-147.8028,49.8,74,75,4.61,broken clouds
193,Turayf,SA,31.6725,38.6637,79.05,24,0,0.0,clear sky
194,Saint-Georges,GD,12.0564,-61.7485,82.87,73,100,11.43,overcast clouds
195,La Ronge,CA,55.1001,-105.2842,59.25,44,75,5.75,smoke
196,Eston,CA,51.1501,-108.7514,71.92,31,31,9.35,scattered clouds
197,Aklavik,CA,68.2191,-135.0107,30.76,91,9,13.31,clear sky
198,Juneau,US,58.3019,-134.4197,57.11,100,100,3.44,overcast clouds
199,Daru,PG,-9.0763,143.2092,79.23,89,100,15.61,overcast clouds
200,San Luis,AR,-33.295,-66.3356,80.58,22,1,9.82,clear sky
201,Qandala,SO,11.472,49.8728,87.66,55,100,5.86,overcast clouds
202,Saint Anthony,US,45.0205,-93.218,78.78,41,0,11.5,clear sky
203,Gravdal,NO,68.1214,13.5031,53.49,58,20,13.8,light rain
204,Morant Bay,JM,17.8815,-76.4093,87.42,72,100,7.25,overcast clouds
205,Pag,HR,44.445,15.0575,54.18,65,2,7.72,clear sky
206,Cordoba,AR,-31.4135,-64.1811,84.76,23,20,21.85,few clouds
207,Khani,GE,41.9563,42.9566,56.77,97,100,2.04,overcast clouds
208,Sri Aman,MY,1.2376,111.4621,73.26,100,100,0.83,moderate rain
209,Rjukan,NO,59.8789,8.5941,53.04,98,100,8.55,light rain
210,Charlestown,AU,-32.95,151.6667,63.73,85,100,3.0,light rain
211,Vostok,RU,46.4856,135.8833,21.34,90,12,4.38,few clouds
212,Yuci,CN,37.6803,112.7319,46.15,61,0,8.95,clear sky
213,North Bend,US,43.4065,-124.2243,59.07,94,100,3.44,overcast clouds
214,Arboletes,CO,8.8505,-76.4269,85.59,71,86,7.52,overcast clouds
215,Olinda,BR,-8.0089,-34.8553,80.33,65,0,10.36,clear sky
216,Pisco,PE,-13.7,-76.2167,66.25,68,40,10.36,haze
217,Paamiut,GL,61.994,-49.6678,37.27,85,100,20.69,light rain
218,Rio Grande,BR,-32.035,-52.0986,71.71,71,2,10.33,clear sky
219,Kunya,NG,12.2233,8.5325,82.56,69,0,4.61,clear sky
220,Alofi,NU,-19.0595,-169.9187,78.69,83,13,9.22,few clouds
221,Rawson,AR,-43.3002,-65.1023,69.91,27,68,12.66,broken clouds
222,Moche,PE,-8.1711,-79.0092,62.78,82,100,13.8,fog
223,Beringovskiy,RU,63.05,179.3167,37.96,86,100,7.29,overcast clouds
224,Masuda,JP,34.6667,131.85,67.12,92,100,14.7,overcast clouds
225,Codrington,AU,-38.2667,141.9667,53.13,78,100,18.7,overcast clouds
226,Shimoda,JP,34.6667,138.95,75.11,90,84,18.39,broken clouds
227,New Norfolk,AU,-42.7826,147.0587,39.92,74,100,1.16,overcast clouds
228,Castro,BR,-24.7911,-50.0119,70.5,61,0,3.22,clear sky
229,Riyadh,SA,24.6877,46.7219,86.14,15,0,6.85,clear sky
230,Coffs Harbour,AU,-30.3,153.1333,60.76,88,100,11.5,overcast clouds
231,Nouakchott,MR,18.0858,-15.9785,85.93,65,47,13.87,scattered clouds
232,Lazaro Cardenas,MX,17.9583,-102.2,83.55,74,98,6.69,overcast clouds
233,Skibbereen,IE,51.55,-9.2667,59.11,97,100,10.83,overcast clouds
234,Fort Nelson,CA,58.8053,-122.7002,47.79,53,20,6.91,smoke
235,Bakal,RU,54.9417,58.8083,40.51,58,87,3.69,overcast clouds
236,Zhuhai,CN,22.2769,113.5678,82.85,89,20,5.75,few clouds
237,Heihe,CN,50.2441,127.4902,28.98,56,0,9.46,clear sky
238,Yaan,NG,7.3833,8.5667,75.31,88,79,4.09,broken clouds
239,Arlit,NE,18.7369,7.3853,95.81,12,7,15.82,clear sky
240,Krasnoarmeysk,RU,51.0239,45.6969,50.99,82,99,10.0,overcast clouds
241,Jiujiang,CN,29.7333,115.9833,60.15,75,96,18.88,overcast clouds
242,Atar,MR,20.5169,-13.0499,101.35,16,100,12.44,overcast clouds
243,Salalah,OM,17.0151,54.0924,78.39,83,58,5.35,broken clouds
244,Rantepao,ID,-2.9701,119.8978,65.55,97,100,2.17,overcast clouds
245,Nichinan,JP,31.6,131.3667,74.28,93,27,6.31,scattered clouds
246,Kuching,MY,1.55,110.3333,75.42,100,40,3.0,light rain
247,Kuhdasht,IR,33.535,47.6061,70.27,18,0,7.72,clear sky
248,Qeshm,IR,26.9581,56.2719,84.09,75,5,3.31,clear sky
249,Chepareria,KE,1.3077,35.2039,63.55,79,67,3.65,light rain
250,Ucluelet,CA,48.9329,-125.5528,61.09,91,100,1.01,overcast clouds
251,Kulhudhuffushi,MV,6.6221,73.07,81.48,77,100,18.21,overcast clouds
252,Kot Kapura,IN,30.5833,74.9,75.52,56,0,1.63,clear sky
253,Ilinskiy,RU,55.619,38.1182,48.54,84,40,7.0,scattered clouds
254,Esperance,AU,-33.8667,121.9,56.32,87,2,15.88,clear sky
255,Camana,PE,-16.6228,-72.7111,62.92,72,55,8.16,broken clouds
256,Shilka,RU,51.85,116.0333,25.12,57,23,2.24,few clouds
257,Klaksvik,FO,62.2266,-6.589,49.12,77,4,40.26,clear sky
258,Haines Junction,CA,60.7522,-137.5108,37.35,81,100,0.0,overcast clouds
259,Plainview,US,40.7765,-73.4673,56.59,90,100,19.57,light rain
260,Goya,AR,-29.14,-59.2626,81.1,23,0,10.51,clear sky
261,Padang,ID,-0.9492,100.3543,74.41,90,100,4.29,overcast clouds
